izvajalec,drzava,leto_rojstva
Mark Ronson,United States,1975
Bruno Mars,United States,1985
Ed Sheeran,United Kingdom,1991
Wiz Khalifa,United States,1987
Charlie Puth,United States,1991
Fetty Wap,United States,1991
Maroon 5,United States,
Walk The Moon,United States,
Taylor Swift,United States,1989
Silentó,United States,1998
The Weeknd,Canada,1990
OMI,Jamaica,1986
Ellie Goulding,United Kingdom,1986
Hozier,Ireland,1990
Kendrick Lamar,United States,1987
Major Lazer,United States,
Dj Snake,France,1986
MØ,Denmark,1988
Jason Derulo,United States,1989
Skrillex,United States,1988
Diplo,United States,1978
Jack Ü,United States,
Justin Bieber,Canada,1994
Rachel Platten,United States,1981
Remy Boyz,United States,1990
Meghan Trainor,United States,1993
Fifth Harmony,,
Kid Ink,United States,1986
Omarion,United States,1984
Chris Brown,United States,1989
Jhené Aiko,United States,1988
Andy Grammer,United States,1983
Sam Smith,United Kingdom,1992
Selena Gomez,United States,1992
Asap Rocky,United States,1988
Drake,Canada,1986
David Guetta,France,1967
Nicki Minaj,United States,1982
Bebe Rexha,United States,1989
Afrojack,Netherlands,1987
Flo Rida,United States,1979
Sage The Gemini,United States,1992
Lookas,United States,
Adele,United Kingdom,1988
Shawn Mendes,Canada,1998
Tove Lo,Sweden,1987
Nick Jonas,United States,1992
Pitbull,United States,1981
Ne-Yo,United States,1979
R. City,United States,1982
Adam Levine,United States,1979
Natalie La Rose,Netherlands,1988
Jeremih,United States,1987
Rihanna,United States,1988
Kanye West,United States,1977
Paul Mccartney,United Kingdom,1942
Fall Out Boy,United States,
Monty,,
Sam Hunt,United States,1984
Big Sean,United States,1988
E-40,United States,1967
Rich Homie Quan,United States,1989
T-Wayne,United States,1990
Lil Wayne,United States,1982
Sia,United States,1975
Demi Lovato,United States,1992
X Ambassadors,United States,
Usher,United States,1978
Juicy J,United States,1975
Ariana Grande,United States,1993
AlunaGeorge,United Kingdom,
Beyoncé,United States,1981
Little Big Town,United States,
Trey Songz,United States,1984
One Direction,United Kingdom,
Meek Mill,United States,1987
Rae Sremmurd,United States,
Vance Joy,St Kevin'S College Monash University,1987
Jidenna,United States,1985
Roman Gianarthur,,1988
Elle King,United States,1989
John Legend,United States,1978
James Newton Howard,United States,1951
Jennifer Lawrence,United States,1990
O.T. Genasis,United States,1987
Jessie J,United Kingdom,1988
ILoveMakonnen,United States,1989
iLoveMemphis,United States,1993
Macklemore & Ryan Lewis,United States,
Eric Nally,United States,
Melle Mel,,1961
Kool Moe Dee,,1962
Grandmaster Caz,United States,1960
Tyga,United States,1989
Luke Bryan,United States,1976
George Ezra,United Kingdom,1993
Kelly Clarkson,United States,1982
Ella Henderson,,1996
Alessia Cara,Canada,1996
Mr Probz,Netherlands,1984
Nicky Jam,United States,1981
Enrique Iglesias,United States,1975
Calvin Harris,United Kingdom,1984
Disciples,United Kingdom,
Wizkid,Nigeria,1990
Kyla,United Kingdom,1983
Twenty One Pilots,United States,
Desiigner,United States,1997
The Chainsmokers,United States,
Daya,United States,1998
Justin Timberlake,United States,1981
Halsey,United States,1994
Sean Paul,Jamaica,1973
Lukas Graham,Denmark,
Mike Posner,United States,1988
Ty Dolla Sign,United States,1982
DNCE,,
G-Eazy,United States,1989
Zayn,United Kingdom,1993
Rozes,United States,1993
Future,United States,1983
Pink,United States,1979
DRAM,United States,1988
Lil Yachty,United States,1997
Bryson Tiller,United States,1993
Gnash,United States,1993
Olivia O'Brien,United States,1999
James Bay,United Kingdom,1990
Zara Larsson,Sweden,1997
MNEK,United Kingdom,1994
Kent Jones,United States,1993
Florida Georgia Line,,
Kiiara,United States,1995
Kevin Gates,United States,1986
Daft Punk,France,
Dj Khaled,United States,1975
Flume,United States,1991
Kai,Canada,1990
Thomas Rhett,United States,1990
Post Malone,United States,1995
Imagine Dragons,United States,
Logic,United States,1990
Yo Gotti,United States,1981
Tory Lanez,Canada,1992
Coldplay,United Kingdom,
Travis Scott,United States,1991
Ruth B,Canada,1995
Bipolar Sunshine,United Kingdom,1987
Jay-Z,United States,1969
Camila Cabello,United States,1997
Fat Joe,United States,1970
Remy Ma,United States,1980
French Montana,United States,1984
Infared,,
Young Thug,United States,1991
Young Dolph,United States,1985
Hailee Steinfeld,United States,1996
Grey,,
Zedd,Germany,1989
Tim Mcgraw,United States,1967
Luis Fonsi,United States,1978
Daddy Yankee,Puerto Rico,1976
Migos,United States,
Lil Uzi Vert,United States,1994
Quavo,United States,1991
James Arthur,United Kingdom,1988
Chance The Rapper,United States,1993
Swae Lee,United States,1993
Gucci Mane,United States,1980
Khalid,United States,1998
Cardi B,United States,1992
Childish Gambino,United States,1983
Kygo,Norway,1991
Kyle,United States,1993
Julia Michaels,United States,1993
